Date,Sugar_Production_MT,Milk_Intake_MnLitres,Cement_Production_MT,Cement_Consumption,Soft_Drinks_000Litres,Assembled_Vehicles,Galvanized_Sheets_MT
2010-01-01,48100,49.27,290805,264849,29405,299,14254
2010-02-01,42982,43.9,266889,178789,31178,521,13700
2010-03-01,45388,48.61,300610,223450,33984,510,20095
2010-04-01,43801,44.64,284987,258016,29352,438,18929
2010-05-01,34465,42.99,294158,250837,29445,521,18842
2010-06-01,37828,37.58,312176,274073,29588,550,16006
2010-07-01,33495,39.91,334444,273581,29332,509,16790
2010-08-01,41911,38.63,323478,284184,28525,460,16457
2010-09-01,45595,37.22,319464,253692,29593,461,16299
2010-10-01,43669,41.68,351963,309066,30435,460,18488
2010-11-01,50822,43.37,323447,281564,29333,490,16219
2010-12-01,55414,43.0,307385,252726,31163,502,15331
2011-01-01,55974,47.1,364432,364711,34446,290,22094
2011-02-01,52069,40.8,335247,291531,32457,413,22386
2011-03-01,53842,38.8,355858,289361,36156,462,22928
2011-04-01,52061,41.8,363035,319710,31162,449,20957
2011-05-01,49130,45.6,376246,330084,26622,554,24744
2011-06-01,38818,45.7,365494,295465,28910,550,24677
2011-07-01,25884,49.5,393149,326414,28478,524,24906
2011-08-01,26060,46.4,405546,342284,28580,553,24659
2011-09-01,22815,49.1,407838,302720,29674,651,17988
2011-10-01,28990,50.3,361941,341277,28540,660,16619
2011-11-01,32689,46.4,364789,327859,27366,594,22104
2011-12-01,36729,47.7,384853,339516,38962,349,24033
2012-01-01,53852,45.5,350615,272261,34317,387,22940
2012-02-01,49480,32.9,378453,330328,32009,588,19655
2012-03-01,52342,28.9,397009,328259,37363,303,21507
2012-04-01,44914,26.0,360540,308617,29331,594,20892
2012-05-01,40410,37.3,381026,309501,24359,654,22197
2012-06-01,45111,46.2,396951,329366,27391,588,17180
2012-07-01,41607,43.5,398458,337295,22073,570,21411
2012-08-01,37058,45.5,399873,339916,24458,588,23040
2012-09-01,32503,45.2,382141,322912,31113,597,23268
2012-10-01,30123,47.8,421579,365769,32540,585,20473
2012-11-01,31886,48.6,415866,382400,31497,420,21969
2012-12-01,34651,47.9,357212,310639,33067,344,21283
2013-01-01,49046,49.32,393921,342296,32809,435,25528
2013-02-01,50036,42.48,380032,336756,36068,536,22874
2013-03-01,43647,40.28,367673,279129,42552,496,26296
2013-04-01,39151,44.43,365579,306196,27345,584,26010
2013-05-01,36529,50.62,414161,337866,27581,560,23866
2013-06-01,49512,44.46,422519,361839,30919,609,26147
2013-07-01,61802,43.52,454288,373767,28464,617,25007
2013-08-01,58687,37.9,432938,373466,27697,578,27398
2013-09-01,50303,38.79,453542,381272,36026,590,25051
2013-10-01,52751,38.87,487594,407151,34810,652,27588
2013-11-01,54752,45.33,464834,392733,36272,733,26628
2013-12-01,53994,47.03,422048,374015,43438,558,23706
2014-01-01,64298,54.04,454960,387809,39007,511,22090
2014-02-01,60044,46.6,442636,354576,39146,792,18573
2014-03-01,63365,49.26,478416,420345,40320,737,21267
2014-04-01,47279,45.01,468022,433787,37885,798,25989
2014-05-01,44094,43.56,464695,458219,40430,832,27433
2014-06-01,42866,44.47,464929,421855,28706,856,24465
2014-07-01,55912,40.52,503428,422394,33790,809,21779
2014-08-01,50140,41.76,492801,440336,33404,828,25753
2014-09-01,47915,41.66,499479,441527,35899,886,26126
2014-10-01,42197,43.52,553186,483033,41601,887,26732
2014-11-01,34455,44.32,545041,487396,40134,724,25763
2014-12-01,64298,45.32,492944,445404,49142,586,18539
2015-01-01,63127,57.17,511298,459227,41348,601,21304
2015-02-01,57917,37.8,465471,417591,41440,949,20078
2015-03-01,63389,35.77,550556,483218,48865,922,22797
2015-04-01,50097,35.59,537452,480801,42148,813,20674
2015-05-01,44081,52.97,516513,472675,36874,827,23132
2015-06-01,46098,51.02,516185,465828,36274,745,20358
2015-07-01,47957,51.59,570904,451461,32086,757,18415
2015-08-01,54089,50.94,553929,478011,38432,931,20871
2015-09-01,61069,51.66,561235,518435,40176,1029,20581
2015-10-01,56360,55.42,557589,530913,42936,1139,26024
2015-11-01,43401,68.28,510747,480641,40025,972,25764
2015-12-01,48089,58.87,486306,455345,49966,496,16938
